fila_extraida,operador,periodo,producto,volumen_original,precio_original,motivo
6643,EL GUAEMBE S.R.L.,2025/01,Gas Oil Grado 3,40741.00,1531.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
6644,EL GUAEMBE S.R.L.,2025/01,Gas Oil Grado 2,163259.00,1246.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
6645,EL GUAEMBE S.R.L.,2025/01,Nafta (premium) de más de 95 Ron,13588.00,1474.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
6646,EL GUAEMBE S.R.L.,2025/01,Nafta (súper) entre 92 y 95 Ron,88246.00,1226.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
28549,EL GUAEMBE S.R.L.,2025/02,Nafta (súper) entre 92 y 95 Ron,78369.00,1251.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
28550,EL GUAEMBE S.R.L.,2025/02,Gas Oil Grado 2,159752.00,1271.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
28551,EL GUAEMBE S.R.L.,2025/02,Nafta (premium) de más de 95 Ron,10727.00,1504.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
28552,EL GUAEMBE S.R.L.,2025/02,Gas Oil Grado 3,41955.00,1531.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
50358,EL GUAEMBE S.R.L.,2025/03,Gas Oil Grado 3,44642.00,1566.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
50359,EL GUAEMBE S.R.L.,2025/03,Nafta (súper) entre 92 y 95 Ron,83105.00,1275.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
50360,EL GUAEMBE S.R.L.,2025/03,Gas Oil Grado 2,160346.00,1300.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
50361,EL GUAEMBE S.R.L.,2025/03,Nafta (premium) de más de 95 Ron,10013.00,1533.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
72196,EL GUAEMBE S.R.L.,2025/04,Gas Oil Grado 2,150390.00,1323.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
72197,EL GUAEMBE S.R.L.,2025/04,Nafta (premium) de más de 95 Ron,9172.00,1560.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
72198,EL GUAEMBE S.R.L.,2025/04,Nafta (súper) entre 92 y 95 Ron,76611.00,1297.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
72199,EL GUAEMBE S.R.L.,2025/04,Gas Oil Grado 3,43506.00,1593.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
93990,EL GUAEMBE S.R.L.,2025/05,Gas Oil Grado 3,40154.00,1472.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
93991,EL GUAEMBE S.R.L.,2025/05,Gas Oil Grado 2,177889.00,1289.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
93992,EL GUAEMBE S.R.L.,2025/05,Nafta (común) hasta 92 Ron,67745.00,1274.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
93993,EL GUAEMBE S.R.L.,2025/05,Nafta (premium) de más de 95 Ron,8061.00,1469.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
93994,EL GUAEMBE S.R.L.,2025/05,Nafta (súper) entre 92 y 95 Ron,67745.00,1274.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
115828,EL GUAEMBE S.R.L.,2025/06,Gas Oil Grado 3,27997.00,1489.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
115829,EL GUAEMBE S.R.L.,2025/06,Gas Oil Grado 2,144942.00,1304.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
115831,EL GUAEMBE S.R.L.,2025/06,Nafta (súper) entre 92 y 95 Ron,46387.00,1288.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
137567,EL GUAEMBE S.R.L.,2025/07,Gas Oil Grado 3,29027.00,1581.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
137568,EL GUAEMBE S.R.L.,2025/07,Nafta (súper) entre 92 y 95 Ron,48979.00,1363.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
137569,EL GUAEMBE S.R.L.,2025/07,Nafta (premium) de más de 95 Ron,6074.00,1578.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
137570,EL GUAEMBE S.R.L.,2025/07,Gas Oil Grado 2,185701.00,1379.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
159316,EL GUAEMBE S.R.L.,2025/08,Nafta (súper) entre 92 y 95 Ron,56052.00,1440.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
159317,EL GUAEMBE S.R.L.,2025/08,Gas Oil Grado 2,180080.00,1470.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
159318,EL GUAEMBE S.R.L.,2025/08,Nafta (premium) de más de 95 Ron,6140.00,1667.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
159319,EL GUAEMBE S.R.L.,2025/08,Gas Oil Grado 3,30875.00,1678.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
180974,EL GUAEMBE S.R.L.,2025/09,Gas Oil Grado 2,166763.00,1511.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
180975,EL GUAEMBE S.R.L.,2025/09,Nafta (premium) de más de 95 Ron,5328.00,1721.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
180976,EL GUAEMBE S.R.L.,2025/09,Nafta (súper) entre 92 y 95 Ron,50075.00,1498.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
180977,EL GUAEMBE S.R.L.,2025/09,Gas Oil Grado 3,29312.00,1744.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
202780,EL GUAEMBE S.R.L.,2025/10,Gas Oil Grado 3,32911.00,1797.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
202781,EL GUAEMBE S.R.L.,2025/10,Nafta (súper) entre 92 y 95 Ron,59118.00,1540.00,"Volumen líquido mayor a 5000 m3 por producto y mes: posible escala o carga; pendiente de revisión, no se corrige."
