id_cliente,id_operador,nombre,provincia,origen_identidad,relacion_comercial
C0001,O001,ESTACION EL SURTIDOR S.R.L.,SANTA FE,real,simulada
C0002,O002,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,CHACO,real,simulada
C0003,O003,PEREZ HERMANOS S.R.L.,MISIONES,real,simulada
C0004,O004,PUERTA SA,MISIONES,real,simulada
C0005,O005,SUCESORES DE OVIDIO JUAN DEGREGORIO S.H,CHACO,real,simulada
C0006,O006,D.G.B. S.R.L.,CORDOBA,real,simulada
C0007,O007,ROQUE LINO PENZO Y CIA S.R.L.,CORRIENTES,real,simulada
C0008,O008,DON ROBERTO SA,CORRIENTES,real,simulada
C0009,O009,"ROGER, HUGO DANIEL",CHACO,real,simulada
C0010,O010,CUBA SA,BUENOS AIRES,real,simulada
C0011,O011,SANTA BARBARA SA,CORDOBA,real,simulada
C0012,O012,SUCATA S.A.,SANTA FE,real,simulada
C0013,O013,CONSTRUCTORA EDIFICAR SA,CORRIENTES,real,simulada
C0014,O014,LIBEROIL SRL,BUENOS AIRES,real,simulada
C0015,O015,AGLP SA,BUENOS AIRES,real,simulada
C0016,O016,POSTA 16 S.R.L.,SANTA FE,real,simulada
C0017,O017,MARIJO S.A.,CORDOBA,real,simulada
C0018,O018,"BORDAQUEVICH, HUGO JOSE",MISIONES,real,simulada
