id_fuente,unidad,cantidad_fuente,cantidad_pedidos,diferencia_cantidad,importe_fuente_ars,importe_pedidos_ars,diferencia_importe_ars
F000285,m3,65939.00,65939.00,0.00,31908541.4900,31908541.4900,0.0000
F000286,L,175670.00,175670.00,0.00,207090336.2000,207090336.2000,0.0000
F000287,L,65840.00,65840.00,0.00,95062425.6000,95062425.6000,0.0000
F000288,L,35010.00,35010.00,0.00,49383005.4000,49383005.4000,0.0000
F000289,L,57730.00,57730.00,0.00,67333385.5000,67333385.5000,0.0000
F002825,L,9380.00,9380.00,0.00,14501480.0000,14501480.0000,0.0000
F002826,L,37390.00,37390.00,0.00,59599660.0000,59599660.0000,0.0000
F002827,L,35410.00,35410.00,0.00,45730952.7000,45730952.7000,0.0000
F002828,L,27160.00,27160.00,0.00,33379640.0000,33379640.0000,0.0000
F003081,L,52260.00,52260.00,0.00,81630120.0000,81630120.0000,0.0000
F003082,L,172990.00,172990.00,0.00,216410490.0000,216410490.0000,0.0000
F003083,L,83450.00,83450.00,0.00,127511600.0000,127511600.0000,0.0000
F003084,L,16450.00,16450.00,0.00,21368550.0000,21368550.0000,0.0000
F004701,L,12880.00,12880.00,0.00,16886066.4000,16886066.4000,0.0000
F004702,L,37180.00,37180.00,0.00,56770142.0000,56770142.0000,0.0000
F004703,L,127790.00,127790.00,0.00,160013526.4000,160013526.4000,0.0000
F004704,L,17970.00,17970.00,0.00,28048294.8000,28048294.8000,0.0000
F005215,L,32520.00,32520.00,0.00,45365400.0000,45365400.0000,0.0000
F005216,m3,100647.00,100647.00,0.00,54248733.0000,54248733.0000,0.0000
F005217,L,38000.00,38000.00,0.00,43700000.0000,43700000.0000,0.0000
F005218,L,53600.00,53600.00,0.00,76437888.0000,76437888.0000,0.0000
F005219,L,192710.00,192710.00,0.00,224339492.3000,224339492.3000,0.0000
F005875,L,108030.00,108030.00,0.00,133508875.5000,133508875.5000,0.0000
F005876,L,324720.00,324720.00,0.00,396346737.6000,396346737.6000,0.0000
F005877,L,108840.00,108840.00,0.00,157026733.2000,157026733.2000,0.0000
F005878,L,79880.00,79880.00,0.00,116968284.0000,116968284.0000,0.0000
F005879,L,1570.00,1570.00,0.00,1934098.7000,1934098.7000,0.0000
F005880,m3,138800.00,138800.00,0.00,110901200.0000,110901200.0000,0.0000
F006134,L,8040.00,8040.00,0.00,11690160.0000,11690160.0000,0.0000
F006135,L,49680.00,49680.00,0.00,59367600.0000,59367600.0000,0.0000
F006136,L,17040.00,17040.00,0.00,25389600.0000,25389600.0000,0.0000
F006137,L,60880.00,60880.00,0.00,70925200.0000,70925200.0000,0.0000
F007910,L,4190.00,4190.00,0.00,5816348.5000,5816348.5000,0.0000
F007911,L,113730.00,113730.00,0.00,164654882.1000,164654882.1000,0.0000
F007912,L,55660.00,55660.00,0.00,68197415.0000,68197415.0000,0.0000
F007913,m3,78739.70,78739.70,0.00,50314668.3000,50314668.3000,0.0000
F007914,L,308130.00,308130.00,0.00,374633697.9000,374633697.9000,0.0000
F007917,L,172920.00,172920.00,0.00,252750247.2000,252750247.2000,0.0000
F012063,L,30250.00,30250.00,0.00,43077210.0000,43077210.0000,0.0000
F012064,L,46520.00,46520.00,0.00,54766600.4000,54766600.4000,0.0000
F012065,m3,81548.00,81548.00,0.00,40243122.5200,40243122.5200,0.0000
F012066,L,1370.00,1370.00,0.00,1613750.4000,1613750.4000,0.0000
F012067,L,43040.00,43040.00,0.00,63243836.8000,63243836.8000,0.0000
F012068,L,166490.00,166490.00,0.00,198868975.2000,198868975.2000,0.0000
F013157,L,2510.00,2510.00,0.00,3053866.8000,3053866.8000,0.0000
F013158,L,133040.00,133040.00,0.00,162328756.0000,162328756.0000,0.0000
F013159,L,189130.00,189130.00,0.00,236539217.1000,236539217.1000,0.0000
F013160,L,47790.00,47790.00,0.00,70178659.2000,70178659.2000,0.0000
F013162,L,113540.00,113540.00,0.00,164462690.0000,164462690.0000,0.0000
F013164,m3,57789.00,57789.00,0.00,40388732.1000,40388732.1000,0.0000
F016145,L,125520.00,125520.00,0.00,153887520.0000,153887520.0000,0.0000
F016146,L,56360.00,56360.00,0.00,83074640.0000,83074640.0000,0.0000
F016147,L,103640.00,103640.00,0.00,129135440.0000,129135440.0000,0.0000
F016148,L,143620.00,143620.00,0.00,219882220.0000,219882220.0000,0.0000
F017196,L,82100.00,82100.00,0.00,104588011.0000,104588011.0000,0.0000
F017197,L,13490.00,13490.00,0.00,19710373.9000,19710373.9000,0.0000
F017198,L,65760.00,65760.00,0.00,79939828.8000,79939828.8000,0.0000
F017199,L,18410.00,18410.00,0.00,27611870.3000,27611870.3000,0.0000
F017437,L,208830.00,208830.00,0.00,255620449.8000,255620449.8000,0.0000
F017439,L,41930.00,41930.00,0.00,56058732.8000,56058732.8000,0.0000
F017440,L,28710.00,28710.00,0.00,43988313.6000,43988313.6000,0.0000
F017441,L,19740.00,19740.00,0.00,31481352.0000,31481352.0000,0.0000
F018449,L,6150.00,6150.00,0.00,9477150.0000,9477150.0000,0.0000
F018454,L,4330.00,4330.00,0.00,6672530.0000,6672530.0000,0.0000
F018456,L,33250.00,33250.00,0.00,41961500.0000,41961500.0000,0.0000
F018457,L,55330.00,55330.00,0.00,72758950.0000,72758950.0000,0.0000
F018552,L,107350.00,107350.00,0.00,133758100.0000,133758100.0000,0.0000
F018553,L,68270.00,68270.00,0.00,102063650.0000,102063650.0000,0.0000
F018554,L,24670.00,24670.00,0.00,36116880.0000,36116880.0000,0.0000
F018555,L,219730.00,219730.00,0.00,264554920.0000,264554920.0000,0.0000
F019145,L,253520.00,253520.00,0.00,313424240.8000,313424240.8000,0.0000
F019146,L,287410.00,287410.00,0.00,349004837.1000,349004837.1000,0.0000
F019148,L,156950.00,156950.00,0.00,227001493.5000,227001493.5000,0.0000
F019149,L,246100.00,246100.00,0.00,354767916.0000,354767916.0000,0.0000
F019150,m3,104981.00,104981.00,0.00,71254803.9400,71254803.9400,0.0000
F020381,L,276270.00,276270.00,0.00,332421877.5000,332421877.5000,0.0000
F020382,L,118470.00,118470.00,0.00,171020922.6000,171020922.6000,0.0000
F020383,L,163290.00,163290.00,0.00,101372064.9000,101372064.9000,0.0000
F020384,L,789870.00,789870.00,0.00,963420236.4000,963420236.4000,0.0000
F020458,L,76750.00,76750.00,0.00,95630500.0000,95630500.0000,0.0000
F020459,L,73700.00,73700.00,0.00,110181500.0000,110181500.0000,0.0000
F020460,L,48790.00,48790.00,0.00,71428560.0000,71428560.0000,0.0000
F020461,L,187750.00,187750.00,0.00,226051000.0000,226051000.0000,0.0000
F022125,m3,71508.00,71508.00,0.00,34674229.2000,34674229.2000,0.0000
F022126,L,30610.00,30610.00,0.00,44106561.2000,44106561.2000,0.0000
F022127,L,64970.00,64970.00,0.00,95826851.8000,95826851.8000,0.0000
F022128,L,167960.00,167960.00,0.00,202388440.8000,202388440.8000,0.0000
F022129,L,54450.00,54450.00,0.00,64849950.0000,64849950.0000,0.0000
F024702,L,9000.00,9000.00,0.00,14112000.0000,14112000.0000,0.0000
F024703,L,39000.00,39000.00,0.00,52572000.0000,52572000.0000,0.0000
