id_detalle,id_pedido,id_producto,id_fuente,cantidad,precio_unitario_ars,origen
D0000001,V000169,P001,F000285,65939.00,483.91,simulado_con_referencia_minorista
D0000002,V000169,P005,F000286,175670.00,1178.86,simulado_con_referencia_minorista
D0000003,V000169,P006,F000287,65840.00,1443.84,simulado_con_referencia_minorista
D0000004,V000169,P003,F000288,35010.00,1410.54,simulado_con_referencia_minorista
D0000005,V000169,P002,F000289,57730.00,1166.35,simulado_con_referencia_minorista
D0000006,V000205,P006,F002825,9380.00,1546.00,simulado_con_referencia_minorista
D0000007,V000205,P003,F002826,37390.00,1594.00,simulado_con_referencia_minorista
D0000008,V000205,P002,F002827,35410.00,1291.47,simulado_con_referencia_minorista
D0000009,V000205,P007,F002828,27160.00,1229.00,simulado_con_referencia_minorista
D0000010,V000013,P003,F003081,52260.00,1562.00,simulado_con_referencia_minorista
D0000011,V000013,P007,F003082,172990.00,1251.00,simulado_con_referencia_minorista
D0000012,V000013,P006,F003083,83450.00,1528.00,simulado_con_referencia_minorista
D0000013,V000013,P002,F003084,16450.00,1299.00,simulado_con_referencia_minorista
D0000014,V000145,P002,F004701,12880.00,1311.03,simulado_con_referencia_minorista
D0000015,V000145,P006,F004702,37180.00,1526.90,simulado_con_referencia_minorista
D0000016,V000145,P007,F004703,127790.00,1252.16,simulado_con_referencia_minorista
D0000017,V000145,P003,F004704,17970.00,1560.84,simulado_con_referencia_minorista
D0000018,V000109,P003,F005215,32520.00,1395.00,simulado_con_referencia_minorista
D0000019,V000109,P001,F005216,100647.00,539.00,simulado_con_referencia_minorista
D0000020,V000109,P002,F005217,38000.00,1150.00,simulado_con_referencia_minorista
D0000021,V000109,P006,F005218,53600.00,1426.08,simulado_con_referencia_minorista
D0000022,V000109,P007,F005219,192710.00,1164.13,simulado_con_referencia_minorista
D0000023,V000061,P002,F005875,108030.00,1235.85,simulado_con_referencia_minorista
D0000024,V000061,P007,F005876,324720.00,1220.58,simulado_con_referencia_minorista
D0000025,V000061,P003,F005877,108840.00,1442.73,simulado_con_referencia_minorista
D0000026,V000061,P005,F005878,79880.00,1464.30,simulado_con_referencia_minorista
D0000027,V000061,P004,F005879,1570.00,1231.91,simulado_con_referencia_minorista
D0000028,V000061,P001,F005880,138800.00,799.00,simulado_con_referencia_minorista
