id_detalle,id_pedido,id_producto,id_fuente,cantidad,precio_unitario_ars,origen
D0000001,V000001,P004,F007910,170.911,1388.15,sintetico_con_precio_mensual
D0000002,V000001,P003,F007911,8773.294,1447.77,sintetico_con_precio_mensual
D0000003,V000001,P002,F007912,1197.031,1225.25,sintetico_con_precio_mensual
D0000004,V000001,P001,F007913,620.279,639.00,sintetico_con_precio_mensual
D0000005,V000001,P007,F007914,3859.504,1215.83,sintetico_con_precio_mensual
D0000006,V000001,P006,F007917,4634.58,1461.66,sintetico_con_precio_mensual
D0000007,V000002,P004,F007910,119.891,1388.15,sintetico_con_precio_mensual
D0000008,V000002,P003,F007911,2601.849,1447.77,sintetico_con_precio_mensual
D0000009,V000002,P002,F007912,500.21,1225.25,sintetico_con_precio_mensual
D0000010,V000002,P001,F007913,5055.905,639.00,sintetico_con_precio_mensual
D0000011,V000002,P007,F007914,9739.642,1215.83,sintetico_con_precio_mensual
D0000012,V000002,P006,F007917,6111.056,1461.66,sintetico_con_precio_mensual
D0000013,V000003,P004,F007910,52.347,1388.15,sintetico_con_precio_mensual
D0000014,V000003,P003,F007911,10264.818,1447.77,sintetico_con_precio_mensual
D0000015,V000003,P002,F007912,2155.646,1225.25,sintetico_con_precio_mensual
D0000016,V000003,P001,F007913,101.536,639.00,sintetico_con_precio_mensual
D0000017,V000003,P007,F007914,25600.883,1215.83,sintetico_con_precio_mensual
D0000018,V000003,P006,F007917,18130.523,1461.66,sintetico_con_precio_mensual
D0000019,V000004,P004,F007910,294.88,1388.15,sintetico_con_precio_mensual
D0000020,V000004,P003,F007911,713.142,1447.77,sintetico_con_precio_mensual
D0000021,V000004,P002,F007912,4558.111,1225.25,sintetico_con_precio_mensual
D0000022,V000004,P001,F007913,3898.396,639.00,sintetico_con_precio_mensual
D0000023,V000004,P007,F007914,4818.071,1215.83,sintetico_con_precio_mensual
D0000024,V000004,P006,F007917,892.686,1461.66,sintetico_con_precio_mensual
D0000025,V000005,P004,F007910,151.941,1388.15,sintetico_con_precio_mensual
D0000026,V000005,P003,F007911,4688.494,1447.77,sintetico_con_precio_mensual
D0000027,V000005,P002,F007912,542.543,1225.25,sintetico_con_precio_mensual
D0000028,V000005,P001,F007913,3308.595,639.00,sintetico_con_precio_mensual
D0000029,V000005,P007,F007914,19136.61,1215.83,sintetico_con_precio_mensual
D0000030,V000005,P006,F007917,4794.412,1461.66,sintetico_con_precio_mensual
D0000031,V000006,P004,F007910,569.858,1388.15,sintetico_con_precio_mensual
D0000032,V000006,P003,F007911,2460.936,1447.77,sintetico_con_precio_mensual
D0000033,V000006,P002,F007912,392.937,1225.25,sintetico_con_precio_mensual
D0000034,V000006,P001,F007913,262.324,639.00,sintetico_con_precio_mensual
D0000035,V000006,P007,F007914,14412.993,1215.83,sintetico_con_precio_mensual
D0000036,V000006,P006,F007917,532.909,1461.66,sintetico_con_precio_mensual
D0000037,V000007,P004,F007910,35.008,,sintetico_con_precio_mensual
D0000038,V000007,P003,F007911,3701.282,1447.77,sintetico_con_precio_mensual
D0000039,V000007,P002,F007912,3846.43,1225.25,sintetico_con_precio_mensual
D0000040,V000007,P001,F007913,2945.841,639.00,sintetico_con_precio_mensual
D0000041,V000007,P007,F007914,21730.804,1215.83,sintetico_con_precio_mensual
D0000042,V000007,P006,F007917,165.134,1461.66,sintetico_con_precio_mensual
D0000043,V000008,P004,F007910,292.214,1388.15,sintetico_con_precio_mensual
D0000044,V000008,P003,F007911,678.98,1447.77,sintetico_con_precio_mensual
D0000045,V000008,P002,F007912,1276.887,1225.25,sintetico_con_precio_mensual
D0000046,V000008,P001,F007913,1591.894,639.00,sintetico_con_precio_mensual
D0000047,V000008,P007,F007914,14997.323,1215.83,sintetico_con_precio_mensual
D0000048,V000008,P006,F007917,1000.793,1461.66,sintetico_con_precio_mensual
D0000049,V000009,P004,F007910,240.32,1388.15,sintetico_con_precio_mensual
D0000050,V000009,P003,F007911,1976.86,1447.77,sintetico_con_precio_mensual
D0000051,V000009,P002,F007912,4127.099,1225.25,sintetico_con_precio_mensual
D0000052,V000009,P001,F007913,1581.725,639.00,sintetico_con_precio_mensual
D0000053,V000009,P007,F007914,8385.769,1215.83,sintetico_con_precio_mensual
D0000054,V000009,P006,F007917,6863.347,1461.66,sintetico_con_precio_mensual
D0000055,V000010,P004,F007910,152.596,1388.15,sintetico_con_precio_mensual
D0000056,V000010,P003,F007911,17.594,1447.77,sintetico_con_precio_mensual
D0000057,V000010,P002,F007912,4639.829,1225.25,sintetico_con_precio_mensual
D0000058,V000010,P001,F007913,7953.134,639.00,sintetico_con_precio_mensual
D0000059,V000010,P007,F007914,3699.984,1215.83,sintetico_con_precio_mensual
D0000060,V000010,P006,F007917,27587.058,1461.66,sintetico_con_precio_mensual
D0000061,V000011,P004,F007910,202.145,1388.15,sintetico_con_precio_mensual
D0000062,V000011,P003,F007911,2753.69,1447.77,sintetico_con_precio_mensual
D0000063,V000011,P002,F007912,871.025,1225.25,sintetico_con_precio_mensual
D0000064,V000011,P001,F007913,1932.029,639.00,sintetico_con_precio_mensual
D0000065,V000011,P007,F007914,8714.828,1215.83,sintetico_con_precio_mensual
D0000066,V000011,P006,F007917,7627.374,1461.66,sintetico_con_precio_mensual
D0000067,V000012,P004,F007910,154.869,1388.15,sintetico_con_precio_mensual
D0000068,V000012,P003,F007911,9235.02,1447.77,sintetico_con_precio_mensual
D0000069,V000012,P002,F007912,268.303,1225.25,sintetico_con_precio_mensual
D0000070,V000012,P001,F007913,4552.745,639.00,sintetico_con_precio_mensual
D0000071,V000012,P007,F007914,9101.684,1215.83,sintetico_con_precio_mensual
D0000072,V000012,P006,F007917,843.285,1461.66,sintetico_con_precio_mensual
D0000073,V000013,P004,F007910,46.523,1388.15,sintetico_con_precio_mensual
D0000074,V000013,P003,F007911,9561.766,1447.77,sintetico_con_precio_mensual
D0000075,V000013,P002,F007912,2058.544,1225.25,sintetico_con_precio_mensual
D0000076,V000013,P001,F007913,4708.785,639.00,sintetico_con_precio_mensual
D0000077,V000013,P007,F007914,8309.793,1215.83,sintetico_con_precio_mensual
D0000078,V000013,P006,F007917,22822.197,1461.66,sintetico_con_precio_mensual
D0000079,V000014,P004,F007910,170.79,1388.15,sintetico_con_precio_mensual
D0000080,V000014,P003,F007911,1558.426,1447.77,sintetico_con_precio_mensual
D0000081,V000014,P002,F007912,1099.043,1225.25,sintetico_con_precio_mensual
D0000082,V000014,P001,F007913,10456.309,639.00,sintetico_con_precio_mensual
D0000083,V000014,P007,F007914,1858.196,1215.83,sintetico_con_precio_mensual
D0000084,V000014,P006,F007917,3257.189,1461.66,sintetico_con_precio_mensual
D0000085,V000015,P004,F007910,215.993,1388.15,sintetico_con_precio_mensual
D0000086,V000015,P003,F007911,1251.052,1447.77,sintetico_con_precio_mensual
D0000087,V000015,P002,F007912,1944.398,1225.25,sintetico_con_precio_mensual
D0000088,V000015,P001,F007913,2192.128,639.00,sintetico_con_precio_mensual
D0000089,V000015,P007,F007914,2555.879,1215.83,sintetico_con_precio_mensual
D0000090,V000015,P006,F007917,937.266,1461.66,sintetico_con_precio_mensual
D0000091,V000016,P004,F007910,37.184,1388.15,sintetico_con_precio_mensual
D0000092,V000016,P003,F007911,3300.214,1447.77,sintetico_con_precio_mensual
D0000093,V000016,P002,F007912,10021.371,1225.25,sintetico_con_precio_mensual
D0000094,V000016,P001,F007913,1150.584,639.00,sintetico_con_precio_mensual
D0000095,V000016,P007,F007914,33228.53,1215.83,sintetico_con_precio_mensual
D0000096,V000016,P006,F007917,10139.956,1461.66,sintetico_con_precio_mensual
D0000097,V000017,P004,F007910,351.002,1388.15,sintetico_con_precio_mensual
D0000098,V000017,P003,F007911,19163.348,1447.77,sintetico_con_precio_mensual
D0000099,V000017,P002,F007912,1258.408,1225.25,sintetico_con_precio_mensual
D0000100,V000017,P001,F007913,6978.772,639.00,sintetico_con_precio_mensual
D0000101,V000017,P007,F007914,14233.71,1215.83,sintetico_con_precio_mensual
D0000102,V000017,P006,F007917,10237.086,1461.66,sintetico_con_precio_mensual
D0000103,V000018,P004,F007910,50.061,1388.15,sintetico_con_precio_mensual
D0000104,V000018,P003,F007911,1640.407,1447.77,sintetico_con_precio_mensual
D0000105,V000018,P002,F007912,3356.191,1225.25,sintetico_con_precio_mensual
D0000106,V000018,P001,F007913,7597.972,639.00,sintetico_con_precio_mensual
D0000107,V000018,P007,F007914,33161.637,1215.83,sintetico_con_precio_mensual
D0000108,V000018,P006,F007917,558.499,1461.66,sintetico_con_precio_mensual
D0000109,V000019,P004,F007910,385.675,1388.15,sintetico_con_precio_mensual
D0000110,V000019,P003,F007911,5209.048,1447.77,sintetico_con_precio_mensual
D0000111,V000019,P002,F007912,5601.28,1225.25,sintetico_con_precio_mensual
D0000112,V000019,P001,F007913,1464.415,639.00,sintetico_con_precio_mensual
D0000113,V000019,P007,F007914,32879.431,1215.83,sintetico_con_precio_mensual
D0000114,V000019,P006,F007917,4839.617,1461.66,sintetico_con_precio_mensual
D0000115,V000020,P004,F007910,6.69,1388.15,sintetico_con_precio_mensual
D0000116,V000020,P003,F007911,9986.828,1447.77,sintetico_con_precio_mensual
D0000117,V000020,P002,F007912,1230.756,1225.25,sintetico_con_precio_mensual
D0000118,V000020,P001,F007913,2247.574,639.00,sintetico_con_precio_mensual
D0000119,V000020,P007,F007914,7705.987,1215.83,sintetico_con_precio_mensual
D0000120,V000020,P006,F007917,7839.048,1461.66,sintetico_con_precio_mensual
D0000121,V000021,P004,F007910,72.067,1388.15,sintetico_con_precio_mensual
D0000122,V000021,P003,F007911,2359.798,1447.77,sintetico_con_precio_mensual
D0000123,V000021,P002,F007912,2541.054,1225.25,sintetico_con_precio_mensual
D0000124,V000021,P001,F007913,4632.439,639.00,sintetico_con_precio_mensual
D0000125,V000021,P007,F007914,5749.128,1215.83,sintetico_con_precio_mensual
D0000126,V000021,P006,F007917,1573.572,1461.66,sintetico_con_precio_mensual
D0000127,V000022,P004,F007910,163.19,1388.15,sintetico_con_precio_mensual
D0000128,V000022,P003,F007911,2046.322,1447.77,sintetico_con_precio_mensual
D0000129,V000022,P002,F007912,138.388,1225.25,sintetico_con_precio_mensual
D0000130,V000022,P001,F007913,231.523,639.00,sintetico_con_precio_mensual
D0000131,V000022,P007,F007914,6147.139,1215.83,sintetico_con_precio_mensual
D0000132,V000022,P006,F007917,2254.423,1461.66,sintetico_con_precio_mensual
D0000133,V000023,P004,F007910,50.953,1388.15,sintetico_con_precio_mensual
D0000134,V000023,P003,F007911,2744.287,1447.77,sintetico_con_precio_mensual
D0000135,V000023,P002,F007912,949.444,1225.25,sintetico_con_precio_mensual
D0000136,V000023,P001,F007913,1183.896,639.00,sintetico_con_precio_mensual
D0000137,V000023,P007,F007914,11693.512,1215.83,sintetico_con_precio_mensual
D0000138,V000023,P006,F007917,14462.988,1461.66,sintetico_con_precio_mensual
D0000139,V000024,P004,F007910,202.892,1388.15,sintetico_con_precio_mensual
D0000140,V000024,P003,F007911,7042.545,1447.77,sintetico_con_precio_mensual
D0000141,V000024,P002,F007912,1085.072,1225.25,sintetico_con_precio_mensual
D0000142,V000024,P001,F007913,2090.9,639.00,sintetico_con_precio_mensual
D0000143,V000024,P007,F007914,6408.963,1215.83,sintetico_con_precio_mensual
D0000144,V000024,P006,F007917,14815.002,1461.66,sintetico_con_precio_mensual
D0000145,V000025,P001,F029823,389.838,655.69,sintetico_con_precio_mensual
D0000146,V000025,P007,F029824,9573.086,1241.02,sintetico_con_precio_mensual
D0000147,V000025,P006,F029825,2790.544,1492.96,sintetico_con_precio_mensual
D0000148,V000025,P003,F029826,523.651,1479.01,sintetico_con_precio_mensual
D0000149,V000025,P002,F029827,1063.586,1250.92,sintetico_con_precio_mensual
D0000150,V000025,P004,F029831,18.531,1400.00,sintetico_con_precio_mensual
D0000151,V000026,P001,F029823,310.734,655.69,sintetico_con_precio_mensual
D0000152,V000026,P007,F029824,25422.661,1241.02,sintetico_con_precio_mensual
D0000153,V000026,P006,F029825,26422.457,1492.96,sintetico_con_precio_mensual
D0000154,V000026,P003,F029826,270.035,1479.01,sintetico_con_precio_mensual
D0000155,V000026,P002,F029827,295.046,1250.92,sintetico_con_precio_mensual
D0000156,V000026,P004,F029831,68.155,1400.00,sintetico_con_precio_mensual
D0000157,V000027,P001,F029823,225.611,655.69,sintetico_con_precio_mensual
