_fila_extraida,Nro Inscripción,Período,Operador,Bandera,Fecha de baja,CUIT,Tipo Negocio,Dirección,Localidad,Provincia,Producto,Canal de Comercialización,Precio sin impuestos,Precio con impuestos,Volumen,Precio surtidor,NO Movimientos,Excentos,Impuesto Combustible Líquidos,Impuesto Dióxido Carbono,Tasa Vial,tasa Municipal,Ingresos Brutos,Iva,Fondo fiduciario GNC
285,723,2025/01,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,GNC,Al público,367.35,483.91,65939.00,484.90,NO,0,0,0,4.77,0,0,77.14,37.14
286,723,2025/01,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Nafta (común) hasta 92 Ron,Al público,912.47,1178.86,175.67,1180.00,NO,0,214.15,13.12,11.85,0,0,191.61,0
287,723,2025/01,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Nafta (premium) de más de 95 Ron,Al público,1125.58,1443.84,65.84,1445.00,NO,0,214.15,13.11,14.62,0,0,236.37,0
288,723,2025/01,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Gas Oil Grado 3,Al público,1103.77,1410.54,35.01,1412.00,NO,0,236.73,27.00,14.33,0,0,231.79,0
289,723,2025/01,AGLP SA,YPF,,30-70715847-2,Bocas de expendio (venta por menor) Duales (líquidos + GNC),BLAS PARERA 935,ITUZAINGO,BUENOS AIRES,Gas Oil Grado 2,Al público,911.94,1166.35,57.73,1167.00,NO,0,147.98,16.87,11.85,0,0,191.50,0
2825,9641,2025/01,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Nafta (premium) de más de 95 Ron,Al público,1270.00,1546.00,9.38,1549.00,NO,0,214.15,13.12,0,0,0,266.70,0
2826,9641,2025/01,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Gas Oil Grado 3,Al público,1212.20,1594.00,37.39,1599.00,NO,0,147.24,16.87,0,0,0,275.52,0
2827,9641,2025/01,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Gas Oil Grado 2,Al público,1061.00,1291.47,35.41,1299.00,NO,0,147.98,16.87,0,0,0,222.81,0
2828,9641,2025/01,"BORDAQUEVICH, HUGO JOSE",AXION,,20-18054580-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,RUTA 2 Y AV. REP. ARGENTINA (LOTE RURAL 065 E INMOBILIARIA 4176),CONCEPCION DE LA SIERRA,MISIONES,Nafta (súper) entre 92 y 95 Ron,Al público,1007.00,1229.00,27.16,1229.00,NO,0,214.15,13.12,0,0,0,211.47,0
3081,104,2025/01,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Gas Oil Grado 3,Al público,1189.38,1562.00,52.26,1562.00,NO,0,136.89,15.60,0,0,0,192.62,0
3082,104,2025/01,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Nafta (súper) entre 92 y 95 Ron,Al público,884.21,1251.00,172.99,1251.00,NO,0,188.45,11.54,0,0,0,145.94,0
3083,104,2025/01,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Nafta (premium) de más de 95 Ron,Al público,1122.79,1528.00,83.45,1528.00,NO,0,188.45,11.54,0,0,0,179.56,0
3084,104,2025/01,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,SHELL C.A.P.S.A.,,33-70812864-9,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Gas Oil Grado 2,Al público,962.32,1299.00,16.45,1299.00,NO,0,136.89,15.60,0,0,0,161.16,0
4701,683,2025/01,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Gas Oil Grado 2,Al público,957.48,1311.03,12.88,1312.00,NO,0,136.89,15.60,0,0,0,165.84,0
4702,683,2025/01,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Nafta (premium) de más de 95 Ron,Al público,1096.62,1526.90,37.18,1528.00,NO,0,188.45,11.54,0,0,0,182.83,0
4703,683,2025/01,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Nafta (súper) entre 92 y 95 Ron,Al público,869.56,1252.16,127.79,1253.00,NO,0,188.45,11.54,0,0,0,148.93,0
4704,683,2025/01,CONSTRUCTORA EDIFICAR SA,SHELL C.A.P.S.A.,,30-65765065-6,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ESTADOS UNIDOS 725,CORRIENTES,CORRIENTES,Gas Oil Grado 3,Al público,1163.93,1560.84,17.97,1562.00,NO,0,136.89,15.60,0,0,0,195.94,0
5215,475,2025/01,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Gas Oil Grado 3,Al público,1067.96,1395.00,32.52,1395.00,NO,1,9.42,1.07,20,0,1,224.00,0
5216,475,2025/01,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,GNC,Al público,445.45,539.00,100647.00,539.00,NO,1,0,0,0,0,0,93.55,0
5217,475,2025/01,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Gas Oil Grado 2,Al público,863.02,1150.00,38.00,1150.00,NO,1,9.42,1.07,15,0,1,181.23,0
5218,475,2025/01,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Nafta (premium) de más de 95 Ron,Al público,1057.76,1426.08,53.60,1426.08,NO,1,15.28,94,20,0,1,222.13,0
5219,475,2025/01,CUBA SA,YPF,,30-68389938-7,Bocas de expendio (venta por menor) Duales (líquidos + GNC),AV. PTE PERON 2282,VILLA DE MAYO,BUENOS AIRES,Nafta (súper) entre 92 y 95 Ron,Al público,841.70,1164.13,192.71,1164.13,NO,1,15.28,94,15,0,1,176.76,0
5875,2298,2025/01,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Gas Oil Grado 2,Al público,895.58,1235.85,108.03,1237.00,NO,0,136.89,15.60,0,0,0,188.07,0
5876,2298,2025/01,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Nafta (súper) entre 92 y 95 Ron,Al público,843.77,1220.58,324.72,1222.00,NO,0,188.45,11.54,0,0,0,177.19,0
5877,2298,2025/01,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Gas Oil Grado 3,Al público,1070.03,1442.73,108.84,1444.00,NO,0,133.19,15.18,0,0,0,224.71,0
5878,2298,2025/01,D.G.B. S.R.L.,YPF,,30-70728425-7,Bocas de expendio (venta por menor) Combustibles líquidos únicamente,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,Nafta (común) hasta 92 Ron,Al público,1045.27,1464.30,79.88,1466.00,NO,0,188.45,11.54,0,0,0,219.55,0
