id_fuente,fila_extraida,id_operador,periodo,id_producto,canal,volumen_original_m3,unidad_original,cantidad_venta,unidad_venta,precio_promedio_con_impuestos_ars,precio_surtidor_ars,origen
F000285,285,O015,2025-01-01,P001,Al público,65939.00,m3,65939.00,m3,483.91,484.90,real_con_conversion
F000286,286,O015,2025-01-01,P005,Al público,175.67,m3,175670.00,L,1178.86,1180.00,real_con_conversion
F000287,287,O015,2025-01-01,P006,Al público,65.84,m3,65840.00,L,1443.84,1445.00,real_con_conversion
F000288,288,O015,2025-01-01,P003,Al público,35.01,m3,35010.00,L,1410.54,1412.00,real_con_conversion
F000289,289,O015,2025-01-01,P002,Al público,57.73,m3,57730.00,L,1166.35,1167.00,real_con_conversion
F002825,2825,O018,2025-01-01,P006,Al público,9.38,m3,9380.00,L,1546.00,1549.00,real_con_conversion
F002826,2826,O018,2025-01-01,P003,Al público,37.39,m3,37390.00,L,1594.00,1599.00,real_con_conversion
F002827,2827,O018,2025-01-01,P002,Al público,35.41,m3,35410.00,L,1291.47,1299.00,real_con_conversion
F002828,2828,O018,2025-01-01,P007,Al público,27.16,m3,27160.00,L,1229.00,1229.00,real_con_conversion
F003081,3081,O002,2025-01-01,P003,Al público,52.26,m3,52260.00,L,1562.00,1562.00,real_con_conversion
F003082,3082,O002,2025-01-01,P007,Al público,172.99,m3,172990.00,L,1251.00,1251.00,real_con_conversion
F003083,3083,O002,2025-01-01,P006,Al público,83.45,m3,83450.00,L,1528.00,1528.00,real_con_conversion
F003084,3084,O002,2025-01-01,P002,Al público,16.45,m3,16450.00,L,1299.00,1299.00,real_con_conversion
F004701,4701,O013,2025-01-01,P002,Al público,12.88,m3,12880.00,L,1311.03,1312.00,real_con_conversion
F004702,4702,O013,2025-01-01,P006,Al público,37.18,m3,37180.00,L,1526.90,1528.00,real_con_conversion
F004703,4703,O013,2025-01-01,P007,Al público,127.79,m3,127790.00,L,1252.16,1253.00,real_con_conversion
F004704,4704,O013,2025-01-01,P003,Al público,17.97,m3,17970.00,L,1560.84,1562.00,real_con_conversion
F005215,5215,O010,2025-01-01,P003,Al público,32.52,m3,32520.00,L,1395.00,1395.00,real_con_conversion
F005216,5216,O010,2025-01-01,P001,Al público,100647.00,m3,100647.00,m3,539.00,539.00,real_con_conversion
F005217,5217,O010,2025-01-01,P002,Al público,38.00,m3,38000.00,L,1150.00,1150.00,real_con_conversion
F005218,5218,O010,2025-01-01,P006,Al público,53.60,m3,53600.00,L,1426.08,1426.08,real_con_conversion
F005219,5219,O010,2025-01-01,P007,Al público,192.71,m3,192710.00,L,1164.13,1164.13,real_con_conversion
F005875,5875,O006,2025-01-01,P002,Al público,108.03,m3,108030.00,L,1235.85,1237.00,real_con_conversion
F005876,5876,O006,2025-01-01,P007,Al público,324.72,m3,324720.00,L,1220.58,1222.00,real_con_conversion
F005877,5877,O006,2025-01-01,P003,Al público,108.84,m3,108840.00,L,1442.73,1444.00,real_con_conversion
F005878,5878,O006,2025-01-01,P005,Al público,79.88,m3,79880.00,L,1464.30,1466.00,real_con_conversion
F005879,5879,O006,2025-01-01,P004,Al público,1.57,m3,1570.00,L,1231.91,1237.00,real_con_conversion
F005880,5880,O006,2025-01-01,P001,Al público,138800.00,m3,138800.00,m3,799.00,799.00,real_con_conversion
