id_detalle,campo,incidencia,recuperacion
D0000037,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000174,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000311,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000448,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000585,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000722,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000859,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000996,precio_unitario_ars,nulo_sintetico,COALESCE con precio de id_fuente; todos los pedidos usan ese precio por diseño
D0000073,fila,duplicado_exacto_sintetico,SELECT DISTINCT
D0000462,fila,duplicado_exacto_sintetico,SELECT DISTINCT
D0000851,fila,duplicado_exacto_sintetico,SELECT DISTINCT
