id_pedido,fecha,id_cliente,estado,origen
V000001,2025-01-01,C0001,Concretado,sintetico_mensual
V000002,2025-02-01,C0001,Concretado,sintetico_mensual
V000003,2025-03-01,C0001,Concretado,sintetico_mensual
V000004,2025-04-01,C0001,Concretado,sintetico_mensual
V000005,2025-05-01,C0001,Concretado,sintetico_mensual
V000006,2025-06-01,C0001,Concretado,sintetico_mensual
V000007,2025-07-01,C0001,Concretado,sintetico_mensual
V000008,2025-08-01,C0001,Concretado,sintetico_mensual
V000009,2025-09-01,C0001,Concretado,sintetico_mensual
V000010,2025-10-01,C0001,Concretado,sintetico_mensual
V000011,2025-11-01,C0001,Concretado,sintetico_mensual
V000012,2025-12-01,C0001,Concretado,sintetico_mensual
V000013,2025-01-01,C0002,Concretado,sintetico_mensual
V000014,2025-02-01,C0002,Concretado,sintetico_mensual
V000015,2025-03-01,C0002,Concretado,sintetico_mensual
V000016,2025-04-01,C0002,Concretado,sintetico_mensual
V000017,2025-05-01,C0002,Concretado,sintetico_mensual
V000018,2025-06-01,C0002,Concretado,sintetico_mensual
V000019,2025-07-01,C0002,Concretado,sintetico_mensual
V000020,2025-08-01,C0002,Concretado,sintetico_mensual
V000021,2025-09-01,C0002,Concretado,sintetico_mensual
V000022,2025-10-01,C0002,Concretado,sintetico_mensual
V000023,2025-11-01,C0002,Concretado,sintetico_mensual
V000024,2025-12-01,C0002,Concretado,sintetico_mensual
V000025,2025-01-01,C0003,Concretado,sintetico_mensual
V000026,2025-02-01,C0003,Concretado,sintetico_mensual
V000027,2025-03-01,C0003,Concretado,sintetico_mensual
V000028,2025-04-01,C0003,Concretado,sintetico_mensual
V000029,2025-05-01,C0003,Concretado,sintetico_mensual
V000030,2025-06-01,C0003,Concretado,sintetico_mensual
V000031,2025-07-01,C0003,Concretado,sintetico_mensual
V000032,2025-08-01,C0003,Concretado,sintetico_mensual
V000033,2025-09-01,C0003,Concretado,sintetico_mensual
V000034,2025-10-01,C0003,Concretado,sintetico_mensual
V000035,2025-11-01,C0003,Concretado,sintetico_mensual
V000036,2025-12-01,C0003,Concretado,sintetico_mensual
V000037,2025-01-01,C0004,Concretado,sintetico_mensual
V000038,2025-02-01,C0004,Concretado,sintetico_mensual
V000039,2025-03-01,C0004,Concretado,sintetico_mensual
V000040,2025-04-01,C0004,Concretado,sintetico_mensual
V000041,2025-05-01,C0004,Concretado,sintetico_mensual
V000042,2025-06-01,C0004,Concretado,sintetico_mensual
V000043,2025-07-01,C0004,Concretado,sintetico_mensual
V000044,2025-08-01,C0004,Concretado,sintetico_mensual
V000045,2025-09-01,C0004,Concretado,sintetico_mensual
V000046,2025-10-01,C0004,Concretado,sintetico_mensual
V000047,2025-11-01,C0004,Concretado,sintetico_mensual
V000048,2025-12-01,C0004,Concretado,sintetico_mensual
V000049,2025-01-01,C0005,Concretado,sintetico_mensual
V000050,2025-02-01,C0005,Concretado,sintetico_mensual
V000051,2025-03-01,C0005,Concretado,sintetico_mensual
V000052,2025-04-01,C0005,Concretado,sintetico_mensual
V000053,2025-05-01,C0005,Concretado,sintetico_mensual
V000054,2025-06-01,C0005,Concretado,sintetico_mensual
V000055,2025-07-01,C0005,Concretado,sintetico_mensual
V000056,2025-08-01,C0005,Concretado,sintetico_mensual
V000057,2025-09-01,C0005,Concretado,sintetico_mensual
V000058,2025-10-01,C0005,Concretado,sintetico_mensual
V000059,2025-11-01,C0005,Concretado,sintetico_mensual
V000060,2025-12-01,C0005,Concretado,sintetico_mensual
V000061,2025-01-01,C0006,Concretado,sintetico_mensual
V000062,2025-02-01,C0006,Concretado,sintetico_mensual
V000063,2025-03-01,C0006,Concretado,sintetico_mensual
V000064,2025-04-01,C0006,Concretado,sintetico_mensual
V000065,2025-05-01,C0006,Concretado,sintetico_mensual
V000066,2025-06-01,C0006,Concretado,sintetico_mensual
V000067,2025-07-01,C0006,Concretado,sintetico_mensual
V000068,2025-08-01,C0006,Concretado,sintetico_mensual
V000069,2025-09-01,C0006,Concretado,sintetico_mensual
V000070,2025-10-01,C0006,Concretado,sintetico_mensual
V000071,2025-11-01,C0006,Concretado,sintetico_mensual
V000072,2025-12-01,C0006,Concretado,sintetico_mensual
V000073,2025-01-01,C0007,Concretado,sintetico_mensual
V000074,2025-02-01,C0007,Concretado,sintetico_mensual
V000075,2025-03-01,C0007,Concretado,sintetico_mensual
V000076,2025-04-01,C0007,Concretado,sintetico_mensual
V000077,2025-05-01,C0007,Concretado,sintetico_mensual
V000078,2025-06-01,C0007,Concretado,sintetico_mensual
V000079,2025-07-01,C0007,Concretado,sintetico_mensual
V000080,2025-08-01,C0007,Concretado,sintetico_mensual
V000081,2025-09-01,C0007,Concretado,sintetico_mensual
V000082,2025-10-01,C0007,Concretado,sintetico_mensual
V000083,2025-11-01,C0007,Concretado,sintetico_mensual
V000084,2025-12-01,C0007,Concretado,sintetico_mensual
V000085,2025-01-01,C0008,Concretado,sintetico_mensual
V000086,2025-02-01,C0008,Concretado,sintetico_mensual
V000087,2025-03-01,C0008,Concretado,sintetico_mensual
V000088,2025-04-01,C0008,Concretado,sintetico_mensual
V000089,2025-05-01,C0008,Concretado,sintetico_mensual
V000090,2025-06-01,C0008,Concretado,sintetico_mensual
V000091,2025-07-01,C0008,Concretado,sintetico_mensual
V000092,2025-08-01,C0008,Concretado,sintetico_mensual
V000093,2025-09-01,C0008,Concretado,sintetico_mensual
V000094,2025-10-01,C0008,Concretado,sintetico_mensual
V000095,2025-11-01,C0008,Concretado,sintetico_mensual
