"mes","id_producto","producto","unidad_precio","cantidad_clientes","volumen_total","precio_ponderado_ars"
"2025-01-01","P001","GNC","ARS/m3",7,628443.700,635.32
"2025-02-01","P001","GNC","ARS/m3",7,575467.000,649.59
"2025-03-01","P001","GNC","ARS/m3",7,544569.380,669.27
"2025-04-01","P001","GNC","ARS/m3",7,502301.080,591.60
"2025-05-01","P001","GNC","ARS/m3",7,665874.300,659.80
"2025-06-01","P001","GNC","ARS/m3",8,793150.900,663.35
"2025-07-01","P001","GNC","ARS/m3",8,820241.000,665.67
"2025-08-01","P001","GNC","ARS/m3",8,801128.400,668.70
"2025-09-01","P001","GNC","ARS/m3",9,843159.200,684.57
"2025-10-01","P001","GNC","ARS/m3",9,878173.700,687.79
"2025-11-01","P001","GNC","ARS/m3",9,838860.700,687.86
"2025-12-01","P001","GNC","ARS/m3",9,747430.840,705.99
"2025-01-01","P002","Gas Oil Grado 2","ARS/L",18,2119980.000,1234.06
"2025-02-01","P002","Gas Oil Grado 2","ARS/L",18,2045450.000,1262.58
"2025-03-01","P002","Gas Oil Grado 2","ARS/L",18,2158000.000,1285.68
"2025-04-01","P002","Gas Oil Grado 2","ARS/L",18,2300450.000,1303.24
"2025-05-01","P002","Gas Oil Grado 2","ARS/L",18,2434890.000,1276.89
"2025-06-01","P002","Gas Oil Grado 2","ARS/L",18,2398910.000,1292.98
"2025-07-01","P002","Gas Oil Grado 2","ARS/L",18,2486830.000,1354.77
"2025-08-01","P002","Gas Oil Grado 2","ARS/L",18,2249020.000,1437.79
"2025-09-01","P002","Gas Oil Grado 2","ARS/L",18,2071570.000,1500.68
"2025-10-01","P002","Gas Oil Grado 2","ARS/L",18,2207280.000,1537.72
"2025-11-01","P002","Gas Oil Grado 2","ARS/L",18,2080780.000,1638.73
"2025-12-01","P002","Gas Oil Grado 2","ARS/L",18,2006130.000,1742.90
"2025-01-01","P003","Gas Oil Grado 3","ARS/L",17,1132720.000,1475.47
"2025-02-01","P003","Gas Oil Grado 3","ARS/L",18,1290760.000,1489.32
"2025-03-01","P003","Gas Oil Grado 3","ARS/L",18,1345400.000,1510.71
"2025-04-01","P003","Gas Oil Grado 3","ARS/L",18,1292790.000,1526.03
"2025-05-01","P003","Gas Oil Grado 3","ARS/L",18,1371750.000,1432.83
"2025-06-01","P003","Gas Oil Grado 3","ARS/L",18,1378620.000,1450.70
"2025-07-01","P003","Gas Oil Grado 3","ARS/L",18,1519550.000,1521.96
"2025-08-01","P003","Gas Oil Grado 3","ARS/L",18,1511890.000,1594.78
"2025-09-01","P003","Gas Oil Grado 3","ARS/L",18,1505090.000,1665.90
"2025-10-01","P003","Gas Oil Grado 3","ARS/L",18,1497700.000,1719.25
"2025-11-01","P003","Gas Oil Grado 3","ARS/L",18,1389210.000,1783.30
"2025-12-01","P003","Gas Oil Grado 3","ARS/L",18,2146990.000,1896.40
"2025-01-01","P004","Kerosene","ARS/L",5,172930.000,658.01
"2025-02-01","P004","Kerosene","ARS/L",4,95910.000,1210.75
"2025-03-01","P004","Kerosene","ARS/L",4,12120.000,1239.66
"2025-04-01","P004","Kerosene","ARS/L",4,13960.000,1273.52
"2025-05-01","P004","Kerosene","ARS/L",4,13350.000,1357.51
"2025-06-01","P004","Kerosene","ARS/L",4,25670.000,1344.29
"2025-07-01","P004","Kerosene","ARS/L",4,21650.000,1428.09
"2025-08-01","P004","Kerosene","ARS/L",4,15260.000,1458.59
"2025-09-01","P004","Kerosene","ARS/L",4,12780.000,1509.93
"2025-10-01","P004","Kerosene","ARS/L",4,9520.000,1551.51
"2025-11-01","P004","Kerosene","ARS/L",4,9350.000,1588.74
"2025-12-01","P004","Kerosene","ARS/L",4,93030.000,1116.85
"2025-01-01","P005","Nafta (común) hasta 92 Ron","ARS/L",2,255550.000,1268.08
"2025-02-01","P005","Nafta (común) hasta 92 Ron","ARS/L",3,320500.000,1228.65
"2025-03-01","P005","Nafta (común) hasta 92 Ron","ARS/L",3,426430.000,1243.56
"2025-04-01","P005","Nafta (común) hasta 92 Ron","ARS/L",2,218810.000,1264.53
"2025-05-01","P005","Nafta (común) hasta 92 Ron","ARS/L",3,520910.000,1257.23
"2025-06-01","P005","Nafta (común) hasta 92 Ron","ARS/L",4,316120.000,1264.62
"2025-07-01","P005","Nafta (común) hasta 92 Ron","ARS/L",4,624710.000,1341.28
"2025-08-01","P005","Nafta (común) hasta 92 Ron","ARS/L",5,486140.000,1406.64
"2025-09-01","P005","Nafta (común) hasta 92 Ron","ARS/L",1,27810.000,1708.00
"2025-11-01","P005","Nafta (común) hasta 92 Ron","ARS/L",1,69180.000,1644.62
"2025-12-01","P005","Nafta (común) hasta 92 Ron","ARS/L",1,139700.000,1798.00
"2025-01-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",17,974830.000,1466.89
"2025-02-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,923170.000,1498.86
"2025-03-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,997970.000,1519.98
"2025-04-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,912650.000,1494.84
"2025-05-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,995230.000,1469.67
"2025-06-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",17,964480.000,1491.08
"2025-07-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,1051620.000,1556.21
"2025-08-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",16,996660.000,1633.35
"2025-09-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",17,928290.000,1716.00
"2025-10-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,1034850.000,1763.59
"2025-11-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,989620.000,1849.77
"2025-12-01","P006","Nafta (premium) de más de 95 Ron","ARS/L",18,1116500.000,1877.74
"2025-01-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",17,2918430.000,1213.22
"2025-02-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",15,2620310.000,1241.09
"2025-03-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",15,2692780.000,1263.86
"2025-04-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",16,2608130.000,1260.23
"2025-05-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",15,2465320.000,1264.00
"2025-06-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",15,2581940.000,1283.10
"2025-07-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",14,2437810.000,1341.83
"2025-08-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",15,2640020.000,1418.96
"2025-09-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",18,3047140.000,1477.95
"2025-10-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",18,3276150.000,1519.70
"2025-11-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",17,2989860.000,1629.43
"2025-12-01","P007","Nafta (súper) entre 92 y 95 Ron","ARS/L",17,3206220.000,1657.09
